mr,ref
"confirm(name[Undertale], has_linux_release[yes], has_mac_release[yes])","Oh, you mean Undertale, right? The one that was ported to Mac and Linux?"
"confirm(name[Tony Hawk's Pro Skater 3], platforms[PC], available_on_steam[no])","Are you talking about Tony Hawk's Pro Skater 3, the one on PC but not on Steam for some odd reason?"
"confirm(name[Grand Theft Auto V], player_perspective[third person])",Do you mean the Grand Theft Auto V that has got a third person perspective?
"give_opinion(name[Madden NFL 15], rating[average], has_multiplayer[yes])","Madden NFL 15 is average I guess. At first I didn't like it at all, but the multiplayer made it somewhat worthwhile."
"give_opinion(name[Call of Duty: Advanced Warfare], developer[Sledgehammer Games], esrb[M (for Mature)], rating[average])","I'm not a fan of M rated games, so I thought I'd hate Call of Duty: Advanced Warfare. But Sledgehammer Games is a developer that knows what they're doing most of the time, so I actually found it to be okay."
"give_opinion(name[SpellForce 3], developer[Grimlore Games], rating[poor], available_on_steam[yes])","I'm not a big fan of games by Grimlore Games on Steam. SpellForce 3, for example, was a plain torture to play through."
"give_opinion(name[The Last of Us], rating[excellent], player_perspective[third person], platforms[PlayStation])",The Last of Us is a downright amazing third person exclusive for the PlayStation.
"give_opinion(name[Undertale], rating[excellent], genres[adventure, indie, role-playing])",Undertale is a gem of an indie game. It's a flawless blend of adventure and RPG elements.
"inform(name[FIFA 12], release_year[2011], esrb[E (for Everyone)], rating[average], genres[simulation, sport], player_perspective[bird view, side view])",FIFA 12 was an average simulation sport game released in 2011. It's rated E and has a bird view and side view perspective.
"inform(name[Super Bomberman], release_year[1993], genres[action, strategy], platforms[Nintendo, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","Super Bomberman was released in 1993 on Nintendo and PC only. It is not available on Steam, Linux or Mac. It is an action strategy game."
"inform(name[SpellForce 3], rating[poor], genres[real-time strategy, role-playing])","I wouldn't recommend SpellForce 3, though it's an RTS RPG, it has poor ratings."
"inform(name[Tony Hawk's Pro Skater 3], rating[average], genres[sport], platforms[PlayStation, Xbox, Nintendo, PC], has_linux_release[no], has_mac_release[yes])","Tony Hawk's Pro Skater 3 is a sport game. It has received average ratings and was released on PlayStation, Xbox, Nintendo, PC, with Mac support. It currently does not have a Linux release."
"inform(name[Crysis], release_year[2007], genres[action-adventure, shooter], player_perspective[first person], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Crysis was released in 2007. It's a first person action-adventure shooter game. You can get it for PlayStation, Xbox, and PC, and it's also available on Steam, though Linux and Mac support was dropped."
"inform(name[Madden NFL 15], release_year[2014], rating[average], genres[simulation, sport], player_perspective[bird view, third person], platforms[PlayStation, Xbox])",Madden NFL 15 is an average sport simulation from a bird view and third person. It came out in 2014 for PlayStation and Xbox.
"inform(name[Never Alone], release_year[2014], genres[adventure, indie, platformer])",The indie game Never Alone is an adventure platformer that was released in 2014.
"inform(name[Outlast II], release_year[2017], esrb[M (for Mature)], rating[average], genres[adventure, indie])",Outlast II is a 2017 indie adventure game with average ratings. It is rated M (for Mature).
"inform(name[Life is Strange], esrb[M (for Mature)], rating[good], genres[role-playing], player_perspective[third person])",A good M-rated role-playing game for mature players is Life is Strange. The entire game is in third person.
"inform(name[Far Cry 3], release_year[2012], rating[good], genres[action-adventure, shooter], player_perspective[first person])","Far Cry 3 is a good action-adventure first person shooter, released in 2012."
"inform(name[The Forest of Doom], developer[Tin Man Games], rating[average], genres[role-playing, text adventure], has_multiplayer[no])",The Forest of Doom is an average role-playing text adventure game by Tin Man Games. It doesn't have multiplayer though.
"inform(name[Transport Tycoon], release_year[1994], rating[average], genres[simulation, strategy])",Transport Tycoon is an average simulation strategy game released in 1994.
"inform(name[Nightshade], release_year[2017], developer[Red Entertainment Corporation], rating[poor], genres[text adventure])","Nightshade, by Red Entertainment Corporation, is a text adventure game released in 2017. It has received poor ratings from consumers."
"inform(name[Euro Truck Simulator], rating[poor], genres[driving/racing, simulation], has_multiplayer[no])",Euro Truck Simulator is poorly-rated driving simulator. There is no multiplayer mode available.
"inform(name[Call of Duty: Advanced Warfare], rating[average], genres[action, shooter], player_perspective[first person], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","Call of Duty: Advanced Warfare is an action FPS that released to average reviews on PlayStation, Xbox, and PC. It's available on Steam."
"inform(name[Transport Tycoon], release_year[1994], genres[simulation, strategy])","Released in 1994, Transport Tycoon is a simulation and strategy game."
"inform(name[Little Big Adventure], release_year[1994], esrb[T (for Teen)], rating[average], genres[action-adventure], player_perspective[third person], has_multiplayer[no])","Little Big Adventure is an average third person action-adventure rated T (for Teen). Released in 1994, the game does not have a multiplayer option."
"inform(name[Hitman 2], exp_release_date[November 13, 2018], developer[IO Interactive], genres[shooter, tactical], player_perspective[third person], platforms[PlayStation, Xbox, PC])","Hitman 2 by IO Interactive is a third person tactical shooter game, expected out on November 13, 2018 for PlayStation, Xbox, and PC."
"inform(name[Payday 2], release_year[2013], rating[average], genres[role-playing, shooter])",Payday 2 is a decent 2013 role-playing shooter game.
"inform(name[Need for Speed: The Run], release_year[2011], rating[average], genres[driving/racing], player_perspective[first person, third person])","The 2011 racing game, Need for Speed: The Run, was decent and offers both first and third person perspectives."
"inform(name[Superhot], release_year[2016], rating[average], genres[indie, shooter, tactical], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])","Superhot is an indie tactical shooter with overall average reviews. It's available on all platforms; PlayStation, Xbox, Linux, Mac, and originally launched on PC through Steam in 2016."
"inform(name[Alan Wake's American Nightmare], release_year[2012], genres[action-adventure, shooter], player_perspective[third person], platforms[Xbox, PC], available_on_steam[yes])",Alan Wake's American Nightmare is a 2012 action-adventure game developed for the Xbox and PC. The third person shooter is currently available on Steam.
"inform(name[StarCraft], genres[real-time strategy], platforms[PC])",StarCraft is a real-time strategy that runs on PC only.
"inform(name[The Crew 2], exp_release_date[June 29, 2018], developer[Ivory Tower], genres[driving/racing], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation, Xbox, PC])","The Crew 2 is a third person driving/racing game by Ivory Tower. It has multiplayer and will be available on PlayStation, Xbox, and PC. It will be out on June 29, 2018."
"recommend(name[F1 2014], genres[driving/racing, simulation, sport], player_perspective[third person])",A third person driving/racing sport simulator I enjoyed was F1 2014. Have you played it before?
"recommend(name[The Witcher 3: Wild Hunt], esrb[M (for Mature)], player_perspective[third person])","If you're looking for a gritty third person game with an M rating, The Witcher 3: Wild Hunt is an option. Have you heard of it?"
"recommend(name[Resident Evil 4], release_year[2005], player_perspective[third person])","Since you seem to be a fan of third person perspective games from 2005, I thought you might like Resident Evil 4 too. Have you heard about the game?"
"request(has_multiplayer[no], specifier[epic])",What's the most epic single-player game that you played recently?
"request(has_multiplayer[no], specifier[epic])",Can you recommend any single-player games with epic storylines?
request(specifier[bizarre]),What do you think is a really bizarre game?
request_attribute(has_linux_release[]),Do you game often on Linux?
"request_explanation(rating[excellent], genres[driving/racing, fighting, shooter], player_perspective[third person])",What's so special about third person shooters where you can go around driving and fighting?
"request_explanation(release_year[2015], rating[good], platforms[PlayStation])",Why would you say that the PlayStation's lineup of games from 2015 is pretty good?
"request_explanation(esrb[M (for Mature)], rating[poor])",What do you dislike about M rated games?
"suggest(name[RollerCoaster Tycoon], genres[simulation, strategy], player_perspective[bird view])",What do you think about simulation strategy games with a bird view like RollerCoaster Tycoon?
"suggest(name[Rocket League], genres[sport, vehicular combat], player_perspective[third person])",Are you into third person sport games with vehicular combat like Rocket League?
"suggest(name[Undertale], release_year[2015], developer[tobyfox])","Have you enjoyed played any games by tobyfox that came out in 2015, such as Undertale?"
"verify_attribute(name[Silent Hill 2], rating[excellent], genres[action-adventure, puzzle], player_perspective[third person])","You said that Silent Hill 2 was totally rad. I'm curious, do you in general really love third person perspective action adventure games with puzzles?"
"verify_attribute(name[Tetris], rating[excellent], genres[arcade, puzzle, strategy], platforms[Nintendo])","Earlier you said that Tetris was a really excellent game, and so I'm wondering something now. Do you think Nintendo is simply the best platform for such arcade puzzle strategy games?"
"verify_attribute(name[Metro 2033], rating[good], genres[action, role-playing, shooter], platforms[PC])",You mentioned enjoying Metro 2033. Are you typically fond of action games on PC with shooting and role-playing?
"verify_attribute(name[Uncharted 4: A Thief's End], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter])",I remember you saying that you really dug Uncharted 4: A Thief's End. Do you like to play action-adventure shooters from Naughty Dog?
"verify_attribute(name[NHL 15], rating[average], genres[simulation, sport], player_perspective[bird view])",Earlier you mentioned that NHL 15 was merely average. Is it common that you're not impressed by sports simulation games with a bird view perspective?
